,Date,new_cases_london,new_cases_uk,new_cases_world,london_deaths,world_deaths,uk_deaths,Tfl Tube use change percentage,National rail use change percentage
0,2020-02-27,1,0,1.109,0.0,38,0,-1,-3
1,2020-02-28,5,3,1.269,0.0,57,0,-3,-7
2,2020-02-29,1,2,1.848,0.0,62,0,-7,-7
3,2020-03-01,8,5,1.819,0.0,58,0,4,-7
4,2020-03-02,12,13,2.079,0.0,67,0,-5,-9
5,2020-03-03,6,4,1.822,0.0,72,0,-5,-9
6,2020-03-04,18,11,2.25,0.0,84,0,-5,-5
7,2020-03-05,14,34,2.271,0.0,80,0,-8,-6
8,2020-03-06,23,30,2.978,1.0,102,0,-8,-2
9,2020-03-07,14,48,4.082,0.0,104,1,-9,-1
10,2020-03-08,22,43,3.964,0.0,97,1,-13,-1
11,2020-03-09,54,67,4.145,1.0,228,0,-10,0
12,2020-03-10,91,48,4.698,0.0,207,1,-11,-1
13,2020-03-11,183,52,4.919,6.0,272,4,-14,-5
14,2020-03-12,165,83,7.535,6.0,326,0,-19,-6
15,2020-03-13,136,134,9.021,10.0,349,2,-28,-10
16,2020-03-14,149,117,9.869,14.0,439,1,-39,-13
17,2020-03-15,165,433,12.133,10.0,361,18,-46,-16
18,2020-03-16,234,251,12.357,15.0,746,15,-40,-22
19,2020-03-17,310,152,13.74,23.0,598,22,-56,-31
20,2020-03-18,356,407,16.458,27.0,800,16,-65,-41
21,2020-03-19,333,680,19.809,25.0,942,34,-70,-49
22,2020-03-20,426,647,30.37,44.0,1043,43,-76,-57
23,2020-03-21,350,706,31.353,49.0,1369,36,-87,-63
24,2020-03-22,437,1035,34.047,54.0,1700,56,-89,-67
25,2020-03-23,687,665,34.0,63.0,1641,35,-85,-75
26,2020-03-24,636,967,42.895,87.0,1780,74,-91,-80
27,2020-03-25,756,1427,40.886,113.0,2264,149,-93,-84
28,2020-03-26,762,1452,52.224,129.0,2573,186,-94,-87
29,2020-03-27,820,2129,60.35,130.0,2749,183,-94,-90
30,2020-03-28,577,2885,64.335,122.0,3422,284,-96,-91
31,2020-03-29,594,2546,63.265,146.0,3493,294,-96,-92
32,2020-03-30,844,2433,57.81,149.0,3129,214,-95,-94
33,2020-03-31,915,2619,63.561,181.0,3894,374,-95,-95
34,2020-04-01,962,3009,72.599,202.0,4629,382,-95,-95
35,2020-04-02,1024,4324,76.757,190.0,4906,670,-95,-95
36,2020-04-03,936,4244,76.742,196.0,4955,652,-95,-95
37,2020-04-04,717,4450,80.948,230.0,6631,714,-96,-95
38,2020-04-05,604,3735,84.992,195.0,6145,760,-96,-95
39,2020-04-06,837,5903,68.935,197.0,4672,644,-95,-95
40,2020-04-07,904,3802,72.335,220.0,5266,568,-95,-95
41,2020-04-08,832,3634,74.99,238.0,7659,1038,-95,-95
42,2020-04-09,771,5491,84.479,206.0,6436,1034,-95,-95
43,2020-04-10,573,4344,85.805,170.0,7445,1103,-96,-96
44,2020-04-11,491,5195,89.32,178.0,7220,1152,-96,-96
