,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
56083,2020-02-27,0.0,-1.0,4.0,-1.0,0.0,1.0
56084,2020-02-28,-2.0,-1.0,-9.0,-2.0,0.0,1.0
56085,2020-02-29,-2.0,0.0,-21.0,-5.0,0.0,1.0
56086,2020-03-01,9.0,4.0,24.0,5.0,1.0,-1.0
56087,2020-03-02,2.0,6.0,15.0,-3.0,1.0,0.0
56088,2020-03-03,-1.0,2.0,3.0,-4.0,1.0,0.0
56089,2020-03-04,-3.0,1.0,-7.0,-4.0,0.0,1.0
56090,2020-03-05,-9.0,-5.0,-21.0,-6.0,-1.0,2.0
56091,2020-03-06,1.0,8.0,14.0,-3.0,0.0,1.0
56092,2020-03-07,-2.0,3.0,-6.0,-4.0,1.0,0.0
56093,2020-03-08,-1.0,3.0,-2.0,-4.0,0.0,0.0
56094,2020-03-09,-3.0,6.0,3.0,-6.0,-1.0,1.0
56095,2020-03-10,-6.0,7.0,-3.0,-7.0,-2.0,2.0
56096,2020-03-11,-6.0,8.0,9.0,-10.0,-3.0,2.0
56097,2020-03-12,-8.0,14.0,-3.0,-13.0,-5.0,3.0
56098,2020-03-13,-13.0,15.0,-4.0,-18.0,-9.0,5.0
56099,2020-03-14,-20.0,9.0,-17.0,-22.0,-4.0,4.0
56100,2020-03-15,-24.0,6.0,-21.0,-24.0,-7.0,4.0
56101,2020-03-16,-14.0,23.0,26.0,-25.0,-18.0,7.0
56102,2020-03-17,-28.0,19.0,-8.0,-37.0,-29.0,12.0
56103,2020-03-18,-33.0,28.0,-7.0,-43.0,-36.0,16.0
56104,2020-03-19,-36.0,30.0,-28.0,-47.0,-41.0,18.0
56105,2020-03-20,-46.0,8.0,-22.0,-51.0,-44.0,20.0
56106,2020-03-21,-62.0,-8.0,-23.0,-58.0,-34.0,15.0
56107,2020-03-22,-67.0,-20.0,-6.0,-61.0,-40.0,13.0
56108,2020-03-23,-59.0,-13.0,-5.0,-63.0,-60.0,25.0
56109,2020-03-24,-76.0,-25.0,-19.0,-72.0,-70.0,31.0
56110,2020-03-25,-79.0,-28.0,-17.0,-76.0,-73.0,33.0
56111,2020-03-26,-80.0,-32.0,-20.0,-77.0,-75.0,34.0
56112,2020-03-27,-81.0,-32.0,-30.0,-77.0,-75.0,35.0
56113,2020-03-28,-85.0,-41.0,-57.0,-78.0,-63.0,23.0
56114,2020-03-29,-87.0,-48.0,-59.0,-80.0,-62.0,19.0
