Date,Transport Type,Percentage
16/3/2020,Car,96%
17/3/2020,Car,87%
18/3/2020,Car,80%
19/3/2020,Car,79%
20/3/2020,Car,78%
21/3/2020,Car,70%
22/3/2020,Car,66%
23/3/2020,Car,64%
24/3/2020,Car,44%
25/3/2020,Car,37%
26/3/2020,Car,35%
27/3/2020,Car,35%
28/3/2020,Car,27%
29/3/2020,Car,23%
30/3/2020,Car,33%
31/3/2020,Car,32%
1/4/2020,Car,32%
2/4/2020,Car,32%
3/4/2020,Car,34%
4/4/2020,Car,28%
5/4/2020,Car,25%
6/4/2020,Car,33%
7/4/2020,Car,33%
8/4/2020,Car,34%
9/4/2020,Car,36%
10/4/2020,Car,27%
11/4/2020,Car,29%
12/4/2020,Car,22%
13/4/2020,Car,23%
14/4/2020,Car,35%
15/4/2020,Car,34%
16/4/2020,Car,34%
17/4/2020,Car,35%
18/4/2020,Car,31%
19/4/2020,Car,29%
20/4/2020,Car,38%
21/4/2020,Car,37%
22/4/2020,Car,37%
23/4/2020,Car,37%
24/4/2020,Car,39%
25/4/2020,Car,35%
26/4/2020,Car,32%
27/4/2020,Car,40%
28/4/2020,Car,37%
29/4/2020,Car,38%
30/4/2020,Car,39%
1/5/2020,Car,40%
2/5/2020,Car,38%
3/5/2020,Car,34%
4/5/2020,Car,42%
5/5/2020,Car,42%
6/5/2020,Car,43%
7/5/2020,Car,45%
8/5/2020,Car,33%
9/5/2020,Car,38%
10/5/2020,Car,35%
11/5/2020,Car,45%
12/5/2020,Car,45%
13/5/2020,Car,48%
14/5/2020,Car,49%
15/5/2020,Car,51%
16/5/2020,Car,52%
17/5/2020,Car,50%
18/5/2020,Car,53%
19/5/2020,Car,54%
20/5/2020,Car,56%
21/5/2020,Car,54%
22/5/2020,Car,56%
23/5/2020,Car,55%
24/5/2020,Car,55%
25/5/2020,Car,51%
26/5/2020,Car,59%
27/5/2020,Car,59%
28/5/2020,Car,59%
29/5/2020,Car,62%
16/3/2020,Light Commerical Vehicles,103%
17/3/2020,Light Commerical Vehicles,95%
18/3/2020,Light Commerical Vehicles,90%
19/3/2020,Light Commerical Vehicles,88%
20/3/2020,Light Commerical Vehicles,85%
21/3/2020,Light Commerical Vehicles,79%
22/3/2020,Light Commerical Vehicles,73%
23/3/2020,Light Commerical Vehicles,77%
24/3/2020,Light Commerical Vehicles,55%
25/3/2020,Light Commerical Vehicles,47%
26/3/2020,Light Commerical Vehicles,43%
27/3/2020,Light Commerical Vehicles,42%
28/3/2020,Light Commerical Vehicles,34%
29/3/2020,Light Commerical Vehicles,29%
30/3/2020,Light Commerical Vehicles,41%
31/3/2020,Light Commerical Vehicles,39%
1/4/2020,Light Commerical Vehicles,39%
2/4/2020,Light Commerical Vehicles,38%
3/4/2020,Light Commerical Vehicles,40%
4/4/2020,Light Commerical Vehicles,34%
5/4/2020,Light Commerical Vehicles,30%
6/4/2020,Light Commerical Vehicles,42%
7/4/2020,Light Commerical Vehicles,41%
8/4/2020,Light Commerical Vehicles,41%
9/4/2020,Light Commerical Vehicles,43%
10/4/2020,Light Commerical Vehicles,27%
11/4/2020,Light Commerical Vehicles,35%
12/4/2020,Light Commerical Vehicles,26%
13/4/2020,Light Commerical Vehicles,22%
14/4/2020,Light Commerical Vehicles,44%
15/4/2020,Light Commerical Vehicles,44%
16/4/2020,Light Commerical Vehicles,42%
17/4/2020,Light Commerical Vehicles,43%
18/4/2020,Light Commerical Vehicles,38%
19/4/2020,Light Commerical Vehicles,36%
20/4/2020,Light Commerical Vehicles,48%
21/4/2020,Light Commerical Vehicles,47%
22/4/2020,Light Commerical Vehicles,47%
23/4/2020,Light Commerical Vehicles,46%
24/4/2020,Light Commerical Vehicles,46%
25/4/2020,Light Commerical Vehicles,43%
26/4/2020,Light Commerical Vehicles,39%
27/4/2020,Light Commerical Vehicles,51%
28/4/2020,Light Commerical Vehicles,48%
29/4/2020,Light Commerical Vehicles,49%
30/4/2020,Light Commerical Vehicles,48%
1/5/2020,Light Commerical Vehicles,50%
2/5/2020,Light Commerical Vehicles,47%
3/5/2020,Light Commerical Vehicles,42%
4/5/2020,Light Commerical Vehicles,54%
5/5/2020,Light Commerical Vehicles,54%
6/5/2020,Light Commerical Vehicles,55%
7/5/2020,Light Commerical Vehicles,55%
8/5/2020,Light Commerical Vehicles,33%
9/5/2020,Light Commerical Vehicles,46%
10/5/2020,Light Commerical Vehicles,44%
11/5/2020,Light Commerical Vehicles,58%
12/5/2020,Light Commerical Vehicles,59%
13/5/2020,Light Commerical Vehicles,61%
14/5/2020,Light Commerical Vehicles,60%
15/5/2020,Light Commerical Vehicles,61%
16/5/2020,Light Commerical Vehicles,64%
17/5/2020,Light Commerical Vehicles,63%
18/5/2020,Light Commerical Vehicles,67%
19/5/2020,Light Commerical Vehicles,67%
20/5/2020,Light Commerical Vehicles,67%
21/5/2020,Light Commerical Vehicles,66%
22/5/2020,Light Commerical Vehicles,67%
23/5/2020,Light Commerical Vehicles,68%
24/5/2020,Light Commerical Vehicles,67%
25/5/2020,Light Commerical Vehicles,46%
26/5/2020,Light Commerical Vehicles,72%
27/5/2020,Light Commerical Vehicles,72%
28/5/2020,Light Commerical Vehicles,71%
29/5/2020,Light Commerical Vehicles,72%
16/3/2020,Heavy Goods Vehicles,104%
17/3/2020,Heavy Goods Vehicles,103%
18/3/2020,Heavy Goods Vehicles,100%
19/3/2020,Heavy Goods Vehicles,100%
20/3/2020,Heavy Goods Vehicles,98%
21/3/2020,Heavy Goods Vehicles,102%
22/3/2020,Heavy Goods Vehicles,101%
