,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
50098,2020-02-27,2.0,1.0,8.0,0.0,0.0,0.0
50099,2020-02-28,1.0,1.0,-13.0,0.0,-1.0,1.0
50100,2020-02-29,1.0,1.0,-14.0,-2.0,0.0,0.0
50101,2020-03-01,7.0,2.0,14.0,5.0,1.0,-1.0
50102,2020-03-02,4.0,4.0,14.0,0.0,1.0,0.0
50103,2020-03-03,2.0,3.0,11.0,-1.0,1.0,0.0
50104,2020-03-04,2.0,3.0,2.0,-2.0,1.0,1.0
50105,2020-03-05,-1.0,2.0,1.0,-3.0,0.0,1.0
50106,2020-03-06,5.0,6.0,22.0,1.0,1.0,0.0
50107,2020-03-07,0.0,2.0,7.0,-1.0,1.0,0.0
50108,2020-03-08,4.0,2.0,15.0,2.0,1.0,-1.0
50109,2020-03-09,0.0,4.0,4.0,-3.0,0.0,1.0
50110,2020-03-10,-2.0,5.0,4.0,-4.0,0.0,1.0
50111,2020-03-11,0.0,5.0,10.0,-6.0,0.0,1.0
50112,2020-03-12,-1.0,11.0,5.0,-8.0,-1.0,2.0
50113,2020-03-13,-2.0,11.0,12.0,-9.0,-4.0,2.0
50114,2020-03-14,-10.0,7.0,1.0,-15.0,-2.0,2.0
50115,2020-03-15,-11.0,7.0,-1.0,-16.0,-4.0,2.0
50116,2020-03-16,-3.0,20.0,29.0,-16.0,-9.0,4.0
50117,2020-03-17,-15.0,21.0,6.0,-27.0,-16.0,7.0
50118,2020-03-18,-21.0,22.0,-3.0,-34.0,-23.0,10.0
50119,2020-03-19,-21.0,24.0,2.0,-37.0,-27.0,11.0
50120,2020-03-20,-28.0,10.0,6.0,-40.0,-29.0,13.0
50121,2020-03-21,-50.0,1.0,2.0,-46.0,-25.0,11.0
50122,2020-03-22,-56.0,-14.0,20.0,-46.0,-30.0,9.0
50123,2020-03-23,-45.0,-8.0,1.0,-53.0,-45.0,17.0
50124,2020-03-24,-71.0,-24.0,-14.0,-64.0,-58.0,24.0
50125,2020-03-25,-73.0,-26.0,-12.0,-68.0,-64.0,26.0
50126,2020-03-26,-74.0,-28.0,-11.0,-70.0,-66.0,27.0
50127,2020-03-27,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
50128,2020-03-28,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
50129,2020-03-29,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
50130,2020-03-30,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
50131,2020-03-31,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
50132,2020-04-01,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
50133,2020-04-02,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
50134,2020-04-03,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
50135,2020-04-04,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
50136,2020-04-05,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
